id,budgeted_amount,name,user_id,created_at,updated_at
2,1500.0,"Zanc Frame",1,"2018-04-09 00:00:59.791840","2018-05-14 03:55:54.609413"
3,49.44,"Large Saute Pan",1,"2018-04-16 02:24:04.451392","2018-05-08 19:26:27.042095"
4,3000.0,"Car Repair",1,"2018-05-08 20:33:00.480479","2018-05-11 20:09:02.186608"
5,3000.0,"Home Improvement",1,"2018-05-08 20:34:50.717148","2018-05-08 20:34:50.717148"
6,4000.0,Retirement,1,"2018-05-08 20:35:25.009848","2018-05-08 20:35:25.009848"
7,1000.0,Buffer,1,"2018-05-08 20:35:42.633301","2018-05-08 20:35:42.633301"
