id,name,master_account_type,created_at,updated_at
182,Income,3,"2018-04-12 00:17:50.880103","2018-04-17 13:21:58.739377"
183,Expense,4,"2018-04-12 00:17:50.892022","2018-04-17 13:22:23.922102"
184,Equity,2,"2018-04-12 00:17:50.905326","2018-04-17 15:38:46.449873"
185,"Long-Term Liability",1,"2018-04-12 00:17:50.917674","2018-04-12 00:17:50.917674"
186,"Current Liability",1,"2018-04-12 00:17:50.930052","2018-04-12 00:17:50.930052"
187,"Deferred Asset",0,"2018-04-12 00:17:50.942351","2018-04-17 13:22:56.967884"
188,"Fixed Asset",0,"2018-04-12 00:17:50.953563","2018-04-17 13:23:10.024475"
189,"Current Asset",0,"2018-04-12 00:17:50.964793","2018-04-17 15:38:31.510347"
190,Bank,0,"2018-04-12 00:17:50.976493","2018-04-17 13:23:29.411464"
